region,pob_regional,provincia,comuna,pob_comunal,sup_comuna_km2,densidad_hab_x_km2
Region de Antofagasta,623851,El Loa,Ollagüe,321,2964,0.1082995951
Region de Antofagasta,623851,El Loa,SAN PEDRO DE ATACAMA,10996,2343.9,4.691326422
Region de Antofagasta,623851,El Loa,Calama,165731,15597,10.62582548
Region de Antofagasta,623851,Region de Antofagasta,Sierra Gorda,10186,12886,0.7904702778
Region de Antofagasta,623851,Region de Antofagasta,Taltal,13317,20405,0.6526341583
Region de Antofagasta,623851,Region de Antofagasta,Mejillones,13467,3804,3.54022082
Region de Antofagasta,623851,Region de Antofagasta,Antofagasta,361873,3071.8,117.8048701
Region de Antofagasta,623851,Tocopilla,Maria Elena,6457,12197,0.5293924736
Region de Antofagasta,623851,Tocopilla,Tocopilla,25186,4039,6.235701906
Region de Arica y Parinacota,237082,Arica,Camarones,1255,3927,0.3195823784
Region de Arica y Parinacota,237082,Arica,Arica,221364,479.9,461.2710981
Region de Arica y Parinacota,237082,Parinacota,General Lagos,684,2244,0.3048128342
Region de Arica y Parinacota,237082,Parinacota,Putre,2765,590.3,4.684058953
Region de Atacama,304580,Chañaral,Chañaral,12219,5772,2.116943867
Region de Atacama,304580,Chañaral,Diego de Almagro,13925,18664,0.746088727
Region de Atacama,304580,Copiapo,Tierra Amarilla,14019,11191,1.252703065
Region de Atacama,304580,Copiapo,Caldera,17662,4667,3.784443968
Region de Atacama,304580,Copiapo,Copiapo,153937,16681,9.228283676
Region de Atacama,304580,Huasco,Alto del Carmen,5299,5939,0.8922377505
Region de Atacama,304580,Huasco,Freirina,7041,3578,1.967859139
Region de Atacama,304580,Huasco,Huasco,10149,1601,6.339163023
Region de Atacama,304580,Huasco,Vallenar,51917,7084,7.328769057
Region de Aysen del General Carlos Ibañez del Campo,105382,Aysen,Guaitecas,1843,62.1,29.67793881
Region de Aysen del General Carlos Ibañez del Campo,105382,Aysen,Cisnes,6517,1609.3,4.049586777
Region de Aysen del General Carlos Ibañez del Campo,105382,Aysen,Aysen,23959,2979.6,8.041012216
Region de Aysen del General Carlos Ibañez del Campo,105382,Capitan Prat,Tortel,523,1971.1,0.2653340774
Region de Aysen del General Carlos Ibañez del Campo,105382,Capitan Prat,Region del Libertador General Bernardo O'Higgins,625,8182.5,0.07638252368
Region de Aysen del General Carlos Ibañez del Campo,105382,Capitan Prat,Cochrane,3490,8599.5,0.4058375487
Region de Aysen del General Carlos Ibañez del Campo,105382,Coyhaique,Lago Verde,852,5422.3,0.1571288936
Region de Aysen del General Carlos Ibañez del Campo,105382,Coyhaique,Coyhaique,57818,7290.2,7.930920962
Region de Aysen del General Carlos Ibañez del Campo,105382,General Carrera,Rio Ibañez,2666,5997.2,0.4445407857
Region de Aysen del General Carlos Ibañez del Campo,105382,General Carrera,Chile Chico,4865,5737.1,0.8479894023
Region de Coquimbo,793049,Choapa,Canela,9093,2197,4.138825671
Region de Coquimbo,793049,Choapa,Los Vilos,21382,1861,11.48952176
Region de Coquimbo,793049,Choapa,Salamanca,29347,3445,8.518722787
Region de Coquimbo,793049,Choapa,Illapel,30848,2629,11.73373906
Region de Coquimbo,793049,Elqui,La Higuera,4241,4158,1.01996152
Region de Coquimbo,793049,Elqui,Paihuano,4497,149.5,30.08026756
Region de Coquimbo,793049,Elqui,Andacollo,11044,310,35.62580645
Region de Coquimbo,793049,Elqui,Vicuña,27771,7610,3.649277267
Region de Coquimbo,793049,Elqui,La Serena,221054,1893,116.7744321
Region de Coquimbo,793049,Elqui,COQUIMBO,227730,142.9,1593.63191
Region de Coquimbo,793049,Limari,Rio Hurtado,4278,2117,2.020784128
Region de Coquimbo,793049,Limari,Punitaqui,10956,1339,8.182225541
Region de Coquimbo,793049,Limari,Combarbala,13322,1896,7.026371308
Region de Coquimbo,793049,Limari,Monte Patria,30751,4366,7.043289052
Region de Coquimbo,793049,Limari,Ovalle,111272,3835,29.0148631
Region de La Araucania,994888,Cautin,Melipeuco,6138,1107,5.544715447
Region de La Araucania,994888,Cautin,Perquenco,6905,331,20.86102719
Region de La Araucania,994888,Cautin,Curarrehue,7489,1171,6.395388557
Region de La Araucania,994888,Cautin,Tolten,9722,860,11.30465116
Region de La Araucania,994888,Cautin,Cholchol,11611,428,27.12850467
Region de La Araucania,994888,Cautin,Galvarino,11996,568,21.11971831
Region de La Araucania,994888,Cautin,PUERTO SAAVEDRA,12450,401,31.04738155
Region de La Araucania,994888,Cautin,Gorbea,14414,695,20.73956835
Region de La Araucania,994888,Cautin,Teodoro Schmidt,15045,650,23.14615385
Region de La Araucania,994888,Cautin,Cunco,17526,1907,9.190351337
Region de La Araucania,994888,Cautin,Loncoche,23612,977,24.1678608
Region de La Araucania,994888,Cautin,Carahue,24533,1341,18.2945563
Region de La Araucania,994888,Cautin,Freire,24606,935,26.31657754
Region de La Araucania,994888,Cautin,Pitrufquen,24837,581,42.74870912
Region de La Araucania,994888,Cautin,Vilcun,28151,1421,19.81069669
Region de La Araucania,994888,Cautin,Pucon,28523,1249,22.83666934
Region de La Araucania,994888,Cautin,Nueva Imperial,32510,733,44.35197817
Region de La Araucania,994888,Cautin,Lautaro,38013,901,42.18978912
Region de La Araucania,994888,Cautin,Villarrica,55478,1291,42.97288923
Region de La Araucania,994888,Cautin,Padre Las Casas,76126,401,189.840399
Region de La Araucania,994888,Cautin,Temuco,282415,464,608.6530172
Region de La Araucania,994888,Malleco,Los Sauces,7265,850,8.547058824
Region de La Araucania,994888,Malleco,Ercilla,7733,500,15.466
Region de La Araucania,994888,Malleco,Lumaco,9548,1119,8.532618409
Region de La Araucania,994888,Malleco,Renaico,10250,267,38.38951311
Region de La Araucania,994888,Malleco,Lonquimay,10251,3914,2.619059785
Region de La Araucania,994888,Malleco,Puren,11779,465,25.3311828
Region de La Araucania,994888,Malleco,Curacautin,17413,1664,10.46454327
Region de La Araucania,994888,Malleco,Traiguen,18843,908,20.75220264
Region de La Araucania,994888,Malleco,Collipulli,24598,1296,18.97993827
Region de La Araucania,994888,Malleco,Victoria,34182,1256,27.21496815
Region de La Araucania,994888,Malleco,Angol,53262,1194,44.6080402
Region de Los Lagos,870227,Chiloe,Curaco de Velez,3829,80,47.8625
Region de Los Lagos,870227,Chiloe,Puqueldon,3921,97,40.42268041
Region de Los Lagos,870227,Chiloe,Queilen,5385,333,16.17117117
Region de Los Lagos,870227,Chiloe,Quinchao,8088,161,50.23602484
Region de Los Lagos,870227,Chiloe,Quemchi,8352,440,18.98181818
Region de Los Lagos,870227,Chiloe,Dalcahue,13762,1239,11.10734463
Region de Los Lagos,870227,Chiloe,Chonchi,14858,1362,10.90895742
Region de Los Lagos,870227,Chiloe,Quellon,27192,3244,8.382244143
Region de Los Lagos,870227,Chiloe,Ancud,38991,1752,22.25513699
Region de Los Lagos,870227,Chiloe,Castro,43807,473,92.61522199
Region de Los Lagos,870227,Llanquihue,Cochamo,4023,3911,1.028637177
Region de Los Lagos,870227,Llanquihue,Fresia,12261,1278,9.593896714
Region de Los Lagos,870227,Llanquihue,Maullin,14216,861,16.51103368
Region de Los Lagos,870227,Llanquihue,Los Muermos,17068,1246,13.69823435
Region de Los Lagos,870227,Llanquihue,Llanquihue,17591,421,41.78384798
Region de Los Lagos,870227,Llanquihue,Frutillar,18428,831,22.17569194
Region de Los Lagos,870227,Llanquihue,Calbuco,33985,591,57.50423012
Region de Los Lagos,870227,Llanquihue,Puerto Varas,44578,4065,10.96629766
Region de Los Lagos,870227,Llanquihue,Puerto Montt,245902,1673,146.9826659
Region de Los Lagos,870227,Osorno,San Juan de la Costa,7512,1517,4.951878708
Region de Los Lagos,870227,Osorno,Puerto Octay,8999,1796,5.010579065
Region de Los Lagos,870227,Osorno,San Pablo,10030,637,15.74568289
Region de Los Lagos,870227,Osorno,Puyehue,11667,1598,7.301001252
Region de Los Lagos,870227,Osorno,Rio Negro,14085,1266,11.12559242
Region de Los Lagos,870227,Osorno,Purranque,20369,1459,13.96093215
Region de Los Lagos,870227,Osorno,Osorno,161460,951,169.7791798
Region de Los Lagos,870227,Palena,Palena,1711,2764,0.6190303907
Region de Los Lagos,870227,Palena,Futaleufu,2623,1280,2.04921875
Region de Los Lagos,870227,Palena,Chaiten,5071,8471,0.5986306221
Region de Los Lagos,870227,Palena,Hualaihue,8944,2788,3.208034433
Region de Los Rios,398493,Ranco,Lago Ranco,9896,1763,5.613159387
Region de Los Rios,398493,Ranco,Futrono,14665,2121,6.914191419
Region de Los Rios,398493,Ranco,Rio Bueno,31372,2212,14.18264014
Region de Los Rios,398493,Ranco,La Union,38036,213.7,177.9878334
Region de Los Rios,398493,Valdivia,Corral,5302,76.7,69.12646675
Region de Los Rios,398493,Valdivia,MAFIL,7095,583,12.16981132
Region de Los Rios,398493,Valdivia,Lanco,16752,532,31.4887218
Region de Los Rios,398493,Valdivia,Los Lagos,19634,179.1,109.6259073
Region de Los Rios,398493,Valdivia,Paillaco,20188,896,22.53125
Region de Los Rios,398493,Valdivia,Mariquina,21278,132.1,161.0749432
Region de Los Rios,398493,Valdivia,Panguipulli,34539,3292,10.4917983
Region de Los Rios,398493,Valdivia,Valdivia,166080,1016,163.4645669
Region de Magallanes y la Antartica Chilena,171293,Antartica Chilena,Antartica,138,125025.76,0.001103772535
Region de Magallanes y la Antartica Chilena,171293,Antartica Chilena,Cabo de Hornos,2063,21551,0.09572641641
Region de Magallanes y la Antartica Chilena,171293,Magallanes,Laguna Blanca,274,3696,0.07413419913
Region de Magallanes y la Antartica Chilena,171293,Magallanes,Rio Verde,617,17248,0.03577226345
Region de Magallanes y la Antartica Chilena,171293,Magallanes,San Gregorio,799,6884,0.1160662406
Region de Magallanes y la Antartica Chilena,171293,Magallanes,Punta Arenas,131592,17846,7.373753222
Region de Magallanes y la Antartica Chilena,171293,Tierra del Fuego,Timaukel,405,10759,0.03764290362
Region de Magallanes y la Antartica Chilena,171293,Tierra del Fuego,Primavera,1158,6530,0.1773353752
Region de Magallanes y la Antartica Chilena,171293,Tierra del Fuego,Porvenir,6801,9707,0.7006284125
Region de Magallanes y la Antartica Chilena,171293,ultima Esperanza,Torres del Paine,1209,6630,0.1823529412
Region de Magallanes y la Antartica Chilena,171293,ultima Esperanza,PUERTO NATALES,21477,49924,0.4301938947
Region de Ñuble,500517,Diguillin,Pemuco,8448,563,15.0053286
Region de Ñuble,500517,Diguillin,Pinto,10827,1164,9.301546392
Region de Ñuble,500517,Diguillin,El Carmen,12044,664,18.13855422
Region de Ñuble,500517,Diguillin,San Ignacio,16079,364,44.17307692
Region de Ñuble,500517,Diguillin,Quillon,17485,423,41.3356974
Region de Ñuble,500517,Diguillin,Yungay,17787,824,21.58616505
Region de Ñuble,500517,Diguillin,Bulnes,21493,425,50.57176471
Region de Ñuble,500517,Diguillin,Chillan Viejo,30907,292,105.8458904
Region de Ñuble,500517,Diguillin,Chillan,184739,511,361.5244618
Region de Ñuble,500517,Itata,Portezuelo,4862,282,17.24113475
Region de Ñuble,500517,Itata,Cobquecura,5012,570,8.792982456
Region de Ñuble,500517,Itata,Ninhue,5213,401,13
Region de Ñuble,500517,Itata,Treguaco,5401,313,17.25559105
Region de Ñuble,500517,Itata,Ranquil,5755,248,23.20564516
Region de Ñuble,500517,Itata,Quirihue,11594,589,19.68421053
Region de Ñuble,500517,Itata,Coelemu,15995,342,46.76900585
Region de Ñuble,500517,Punilla,San Fabian,4308,1568,2.74744898
Region de Ñuble,500517,Punilla,Ñiquen,11152,493,22.62068966
Region de Ñuble,500517,Punilla,San Nicolas,11603,491,23.63136456
Region de Ñuble,500517,Punilla,Coihueco,26881,1777,15.12718064
Region de Ñuble,500517,Punilla,San Carlos,53024,874,60.66819222
Region de Tarapaca,342129,Iquique,Alto Hospicio,108375,573,189.1361257
Region de Tarapaca,342129,Iquique,Iquique,191468,2262,84.64544651
Region de Tarapaca,342129,Tamarugal,Camiña,1250,2200,0.5681818182
Region de Tarapaca,342129,Tamarugal,Colchane,1728,4016,0.4302788845
Region de Tarapaca,342129,Tamarugal,Huara,2730,10475,0.2606205251
Region de Tarapaca,342129,Tamarugal,Pica,9296,8934,1.040519364
Region de Tarapaca,342129,Tamarugal,Pozo Almonte,15711,13766,1.141290135
Region de Valparaiso,1885948,Isla de Pascua,Isla de Pascua,7750,164,47.25609756
Region de Valparaiso,1885948,Los Andes,Rinconada,10207,123,82.98373984
Region de Valparaiso,1885948,Los Andes,Calle Larga,14832,322,46.0621118
Region de Valparaiso,1885948,Los Andes,San Esteban,18855,1362,13.84361233
Region de Valparaiso,1885948,Los Andes,Los Andes,66708,1248,53.45192308
Region de Valparaiso,1885948,Marga Marga,Olmue,17516,232,75.5
Region de Valparaiso,1885948,Marga Marga,Limache,46121,294,156.8741497
Region de Valparaiso,1885948,Marga Marga,Villa Alemana,126548,97,1304.618557
Region de Valparaiso,1885948,Marga Marga,Quilpue,151708,537,282.5102421
Region de Valparaiso,1885948,Petorca,Papudo,6356,166,38.28915663
Region de Valparaiso,1885948,Petorca,Zapallar,7339,288,25.48263889
Region de Valparaiso,1885948,Petorca,Petorca,9826,1517,6.477257746
Region de Valparaiso,1885948,Petorca,Cabildo,19388,1455,13.32508591
Region de Valparaiso,1885948,Petorca,La Ligua,35390,1163,30.42992261
Region de Valparaiso,1885948,Quillota,Hijuelas,17988,267,67.37078652
Region de Valparaiso,1885948,Quillota,La Cruz,22098,78,283.3076923
Region de Valparaiso,1885948,Quillota,Nogales,22120,405,54.61728395
Region de Valparaiso,1885948,Quillota,La Calera,50554,6.1,8287.540984
Region de Valparaiso,1885948,Quillota,Quillota,90517,302,299.7251656
Region de Valparaiso,1885948,Region de Valparaiso,Juan Fernandez,926,148,6.256756757
Region de Valparaiso,1885948,Region de Valparaiso,Puchuncavi,18546,300,61.82
Region de Valparaiso,1885948,Region de Valparaiso,Casablanca,26867,953,28.19202518
Region de Valparaiso,1885948,Region de Valparaiso,Quintero,31923,148,215.6959459
Region de Valparaiso,1885948,Region de Valparaiso,Concon,42152,76,554.6315789
Region de Valparaiso,1885948,Region de Valparaiso,VALPARAISO,296655,40.2,7379.477612
Region de Valparaiso,1885948,Region de Valparaiso,Viña del Mar,334248,122,2739.737705
Region de Valparaiso,1885948,San Antonio,Santo Domingo,10900,536,20.3358209
Region de Valparaiso,1885948,San Antonio,El Tabo,13286,99,134.2020202
Region de Valparaiso,1885948,San Antonio,Algarrobo,13817,176,78.50568182
Region de Valparaiso,1885948,San Antonio,El Quisco,15955,51,312.8431373
Region de Valparaiso,1885948,San Antonio,Cartagena,22738,246,92.43089431
Region de Valparaiso,1885948,San Antonio,San Antonio,91350,405,225.5555556
Region de Valparaiso,1885948,San Felipe de Aconcagua,Panquehue,7273,122,59.6147541
Region de Valparaiso,1885948,San Felipe de Aconcagua,Catemu,13998,362,38.66850829
Region de Valparaiso,1885948,San Felipe de Aconcagua,Santa Maria,15241,166,91.81325301
Region de Valparaiso,1885948,San Felipe de Aconcagua,Putaendo,16754,1474,11.36635007
Region de Valparaiso,1885948,San Felipe de Aconcagua,LLAY LLAY,24608,349,70.51002865
Region de Valparaiso,1885948,San Felipe de Aconcagua,San Felipe,76844,186,413.1397849
Region del Biobio,1636209,Arauco,Contulmo,6031,962,6.269230769
Region del Biobio,1636209,Arauco,Tirua,10417,624,16.69391026
Region del Biobio,1636209,Arauco,Los Alamos,21035,599,35.11686144
Region del Biobio,1636209,Arauco,Lebu,25522,561,45.49376114
Region del Biobio,1636209,Arauco,Curanilahue,32288,994,32.48289738
Region del Biobio,1636209,Arauco,Cañete,34537,760,45.44342105
Region del Biobio,1636209,Arauco,Arauco,36257,956,37.92573222
Region del Biobio,1636209,Concepcion,Florida,10624,609,17.44499179
Region del Biobio,1636209,Concepcion,Santa Juana,13749,731,18.80848153
Region del Biobio,1636209,Concepcion,Hualqui,24333,531,45.82485876
Region del Biobio,1636209,Concepcion,Lota,43535,136,320.1102941
Region del Biobio,1636209,Concepcion,Penco,47367,108,438.5833333
Region del Biobio,1636209,Concepcion,Tome,54946,495,111.0020202
Region del Biobio,1636209,Concepcion,Chiguayante,85938,72,1193.583333
Region del Biobio,1636209,Concepcion,Hualpen,91773,54,1699.5
Region del Biobio,1636209,Concepcion,Coronel,116262,279,416.7096774
